subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT5,4,2020-04-04 11:00:06,4.8,hyb_inf,162.75312342597266,362,0.3339823380633551,0.4708020929096876,0.44294533037792655,2.946486353015189,4.453482933599096,0.8167247174668342,0.3616894338578734
WT5,5,2020-04-06 11:00:00,4.8,hyb_inf,152.68390464469516,354,0.365075799766751,0.3906037838149322,0.477107234045915,3.11616274438372,4.610787582022136,0.8156253016006616,0.3716927465954051
WT5,6,2020-04-07 10:58:14,4.8,hyb_inf,167.72424131472093,382,0.39389165247929125,0.438660925845889,0.49652314636498246,2.723993794382731,4.3664366728568025,0.7783022578328712,0.3741142728152338
WT5,7,2020-04-08 11:00:01,4.8,hyb_inf,177.25378922739665,403,0.3889239997953988,0.49881319638931415,0.46338536428752286,2.2416165968305335,4.400423261479057,1.1580170173194968,0.3607663091941412
WT5,8,2020-04-09 11:02:54,4.8,hyb_inf,149.92156331197023,375,0.31281829825587965,0.3489133745376802,0.5016015776383472,3.460689786359001,4.547423885061146,0.7745788113663803,0.29759277535712625
WT5,9,2020-04-10 11:00:11,4.8,hyb_inf,165.41511942572134,405,0.36823307038423464,0.4192196976720125,0.5279976303579994,2.9535506550349013,4.966938669765986,0.8689055381837384,0.3308565659441992
WT5,10,2020-04-11 11:06:05,4.8,hyb_inf,167.1873489930364,398,0.33832490302836016,0.3969781450172926,0.5359930251131463,2.9585199392192605,5.006553602879801,0.7619991608517559,0.323640386347997
WT5,11,2020-04-13 11:00:00,4.8,hyb_inf,172.7971841977087,351,0.32616196898168853,0.45441164524975297,0.4530526924598755,2.6553052725999393,3.9421745078377417,0.6772345206304843,0.44226778388221993
WT5,12,2020-04-14 11:07:08,4.8,hyb_inf,171.16244724078592,387,0.2949434339993997,0.3649153665805941,0.5042006762963116,3.1133912162604673,4.513845045793433,0.6119168323564677,0.32367183270147676
WT5,13,2020-04-15 11:00:01,4.8,hyb_inf,180.48703618619066,424,0.3375331756316592,0.459102499434357,0.4961281156595181,2.793247943456137,5.4539163658859735,0.7150591906128568,0.2790316751164167
WT5,14,2020-04-16 11:02:50,4.8,hyb_inf,186.1936274372248,431,0.33396107799895125,0.480380566572998,0.46570510506223595,2.3529634932056664,5.589277011639071,0.8049236490216425,0.26661722112499325
WT5,15,2020-04-17 10:57:03,4.8,hyb_inf,95.52182184562017,232,0.4733616181242875,0.45156595786827886,0.5332316991618146,2.7885428925925204,4.712510377694664,0.9805018208563637,0.37421153450638833
WT6,0,2020-03-31 13:10:13,4.8,hyb_inf,144.04392480275672,391,0.41808176606126135,0.4680726006623758,0.510840972078712,2.8510230938296237,4.679437229101652,1.294429358876049,0.3288578810421369
WT6,1,2020-04-01 13:00:46,4.8,hyb_inf,142.2160855065269,390,0.4112852579409629,0.4854319334073132,0.5321831188156231,3.3092185842593187,4.330721010331322,1.2911007803952324,0.4104733409972515
WT6,2,2020-04-02 12:55:01,4.8,hyb_inf,117.93828575367762,397,0.4850401728944286,0.43225942094163994,0.5477395687283405,3.789158700996465,5.145159202626504,1.3535024716545627,0.2872687588610275
WT6,3,2020-04-03 13:09:48,4.8,hyb_inf,120.37442119939683,393,0.48128034670066916,0.48174151326223996,0.563536624469017,4.012289430513476,5.024166080165671,1.2423409631006692,0.35487293863860386
WT6,4,2020-04-04 13:08:37,4.8,hyb_inf,149.2913753508229,427,0.4504055243183362,0.5043231498843224,0.4756276836626922,3.1608151318382416,5.093246318077839,1.4357349733721476,0.3350803974801018
WT6,5,2020-04-06 13:17:03,4.8,hyb_inf,163.45562902801092,398,0.41534542046682094,0.4745229450128073,0.5347587134511247,2.7128251783788375,4.745794868205769,0.8605439799331008,0.3107202134660857
WT6,6,2020-04-07 13:18:33,4.8,hyb_inf,141.15457271339716,407,0.3960349154753311,0.41975269714124314,0.48705094909116803,3.991743333551371,5.060388979653815,1.2098455776691779,0.31420898006264575
WT6,7,2020-04-08 13:08:31,4.8,hyb_inf,140.50312465888555,433,0.3997046353122835,0.55309126505756,0.5099931201064244,3.5067897714470795,5.046071681806124,1.4103146025576652,0.3154305478782068
WT6,8,2020-04-09 13:05:38,4.8,hyb_inf,147.82963626309012,421,0.4244885342146868,0.4906099768607238,0.535692706280329,2.839449565503631,5.564354100581713,1.3274736929315571,0.27327846819747525
WT6,9,2020-04-10 13:03:43,4.8,hyb_inf,155.05366089680368,419,0.37960077385373536,0.44062782266811845,0.5131101835819922,3.6129766812796844,4.220508278470559,1.1406650775081937,0.3649189533774635
WT6,10,2020-04-11 13:06:45,4.8,hyb_inf,157.14440017080216,403,0.3684406511653495,0.364971971473311,0.5477693020921162,3.1516555525768695,4.854449965251756,0.7893825099600551,0.2902649170745883
WT6,11,2020-04-13 13:13:41,4.8,hyb_inf,115.3155233713052,315,0.3752944588440083,0.4678227473263545,0.5080024801511271,3.6717353687412575,4.724797877166105,1.0474025440013794,0.33749751669464984
WT6,12,2020-04-14 13:08:47,4.8,hyb_inf,123.12709971334233,413,0.33831290063555536,0.40475607803136565,0.5468100175253681,4.526721401865311,4.684435399953811,1.0022327442692107,0.3436449527432664
WT6,13,2020-04-15 13:07:31,4.8,hyb_inf,144.09139426276363,391,0.3968678939437413,0.4236402017507867,0.474642791526352,3.1807050709308644,4.764105187895343,0.9219188910327959,0.27485336867751003
WT6,14,2020-04-16 13:28:36,4.8,hyb_inf,108.45349736584728,286,0.41100151752435105,0.4288801200727572,0.5542997186108981,3.2573917835986412,4.645906434724216,0.8503919733333167,0.3354293990504438
WT6,15,2020-04-17 13:37:22,4.8,hyb_inf,147.70596394370978,418,0.3619832908741976,0.4781818817812071,0.48611760010255206,3.7713719049636665,4.867111253567944,1.0533775170428912,0.29746213497765683
