stage,subject,session_idx,date,better_rate,n_fc
4.8,WT5,8,2020-04-09 11:02:54,0.6,230
4.8,WT5,9,2020-04-10 11:00:11,0.6333333333333333,240
4.8,WT5,10,2020-04-11 11:06:05,0.6575875486381323,257
4.8,WT5,11,2020-04-13 11:00:00,0.5916230366492147,191
4.8,WT5,12,2020-04-14 11:07:08,0.6620370370370371,216
4.8,WT5,13,2020-04-15 11:00:01,0.6328125,256
4.8,WT5,14,2020-04-16 11:02:50,0.6536964980544747,257
4.8,WT5,15,2020-04-17 10:57:03,0.7280701754385965,114
4.8,WT6,0,2020-03-31 13:10:13,0.7081339712918661,209
4.8,WT6,1,2020-04-01 13:00:46,0.6047619047619047,210
4.8,WT6,2,2020-04-02 12:55:01,0.6509433962264151,212
4.8,WT6,3,2020-04-03 13:09:48,0.576036866359447,217
4.8,WT6,4,2020-04-04 13:08:37,0.6275303643724697,247
4.8,WT6,5,2020-04-06 13:17:03,0.7154471544715447,246
4.8,WT6,6,2020-04-07 13:18:33,0.5609756097560976,246
4.8,WT6,7,2020-04-08 13:08:31,0.6639004149377593,241
4.8,WT6,8,2020-04-09 13:05:38,0.7021276595744681,235
4.8,WT6,9,2020-04-10 13:03:43,0.5714285714285714,259
4.8,WT6,10,2020-04-11 13:06:45,0.7432432432432432,222
4.8,WT6,11,2020-04-13 13:13:41,0.7191011235955056,178
4.8,WT6,12,2020-04-14 13:08:47,0.6883116883116883,231
4.8,WT6,13,2020-04-15 13:07:31,0.6592920353982301,226
4.8,WT6,14,2020-04-16 13:28:36,0.7051282051282052,156
4.8,WT6,15,2020-04-17 13:37:22,0.6727272727272727,220
