subject,stage,session_idx,date,trans_type,n_trials,stay_rew_com,stay_rew_rare,stay_unrew_com,stay_unrew_rare
WT5,4.8,3,2020-04-03 11:00:55,A,319,0.8493150684931506,0.5625,0.5454545454545454,0.7307692307692307
WT5,4.8,4,2020-04-04 11:00:06,A,362,0.8333333333333334,0.4090909090909091,0.6666666666666666,0.7
WT5,4.8,5,2020-04-06 11:00:00,A,354,0.898876404494382,0.4666666666666667,0.7352941176470589,0.5882352941176471
WT5,4.8,6,2020-04-07 10:58:14,A,382,0.8617021276595744,0.5714285714285714,0.6216216216216216,0.3076923076923077
WT5,4.8,7,2020-04-08 11:00:01,A,403,0.8431372549019608,0.6,0.6790123456790124,0.625
WT5,4.8,8,2020-04-09 11:02:54,A,375,0.8932038834951457,0.5714285714285714,0.6086956521739131,0.6875
WT5,4.8,9,2020-04-10 11:00:11,A,405,0.9117647058823529,0.5555555555555556,0.6125,0.5882352941176471
WT5,4.8,10,2020-04-11 11:06:05,A,398,0.8709677419354839,0.4444444444444444,0.582089552238806,0.6333333333333333
WT5,4.8,11,2020-04-13 11:00:00,A,351,0.7272727272727273,0.48,0.640625,0.55
WT5,4.8,12,2020-04-14 11:07:08,A,387,0.8023255813953488,0.5714285714285714,0.5679012345679012,0.625
WT5,4.8,13,2020-04-15 11:00:01,A,424,0.8924731182795699,0.46153846153846156,0.6463414634146342,0.6818181818181818
WT5,4.8,14,2020-04-16 11:02:50,A,431,0.8571428571428571,0.2857142857142857,0.6883116883116883,0.5666666666666667
WT5,4.8,15,2020-04-17 10:57:03,A,232,0.8909090909090909,0.625,0.6428571428571429,0.5882352941176471
WT6,4.8,0,2020-03-31 13:10:13,B,391,0.9074074074074074,0.625,0.6805555555555556,0.8888888888888888
WT6,4.8,1,2020-04-01 13:00:46,B,390,0.9035087719298246,0.8,0.7288135593220338,0.76
WT6,4.8,2,2020-04-02 12:55:01,B,397,0.9583333333333334,0.7368421052631579,0.7866666666666666,0.6666666666666666
WT6,4.8,3,2020-04-03 13:09:48,B,393,0.9797979797979798,0.7857142857142857,0.7922077922077922,0.6190476190476191
WT6,4.8,4,2020-04-04 13:08:37,B,427,0.9326923076923077,0.6666666666666666,0.7901234567901234,0.6086956521739131
WT6,4.8,5,2020-04-06 13:17:03,B,398,0.8796296296296297,0.7058823529411765,0.5806451612903226,0.5217391304347826
WT6,4.8,6,2020-04-07 13:18:33,B,407,0.9787234042553191,0.7692307692307693,0.7045454545454546,0.7083333333333334
WT6,4.8,7,2020-04-08 13:08:31,B,433,0.9626168224299065,0.7368421052631579,0.7764705882352941,0.7777777777777778
WT6,4.8,8,2020-04-09 13:05:38,B,421,0.9354838709677419,0.65,0.6891891891891891,0.7096774193548387
WT6,4.8,9,2020-04-10 13:03:43,B,419,0.93,0.7368421052631579,0.7619047619047619,0.5833333333333334
WT6,4.8,10,2020-04-11 13:06:45,B,403,0.8828828828828829,0.6,0.6229508196721312,0.5384615384615384
WT6,4.8,11,2020-04-13 13:13:41,B,315,0.9425287356321839,0.5714285714285714,0.6862745098039216,0.782608695652174
WT6,4.8,12,2020-04-14 13:08:47,B,413,0.9186991869918699,0.5625,0.7962962962962963,0.9666666666666667
WT6,4.8,13,2020-04-15 13:07:31,B,391,0.8947368421052632,0.7333333333333333,0.8055555555555556,0.6428571428571429
WT6,4.8,14,2020-04-16 13:28:36,B,286,0.8688524590163934,0.7058823529411765,0.6296296296296297,0.65
WT6,4.8,15,2020-04-17 13:37:22,B,418,0.9052631578947369,0.68,0.7466666666666667,0.7272727272727273
